ID;Precio (€/mes);Tipo;Teléfono;Ciudad;Dirección;Barrio;Habitaciones;Baños;Superficie (m2);Planta;Ascensor;Terraza;Parking;Calefacción;Aire;Balcón;Precio del m2 (€/m2)
163064238;850;Piso;931342506;Barcelona Capital;Concepcion Arenal;Sant Andreu;3.0;1.0;76.0;4.0;True;False;False;False;False;False;11.18421052631579
162327922;2150;Apartamento;932825164;Barcelona Capital;;Eixample;2.0;2.0;85.0;;True;False;False;False;True;False;25.294117647058822
162689782;2140;Piso;932752339;Barcelona Capital;;Sarrià - Sant Gervasi;5.0;2.0;170.0;2.0;True;False;False;False;False;False;12.588235294117647
163053114;3200;Ático;932829126;Barcelona Capital;Sant Pere Més Baix;Ciutat Vella;3.0;3.0;180.0;4.0;True;False;False;False;False;False;17.77777777777778
162241413;1800;Piso;931347425;Barcelona Capital;Carrer del Berlinès;Sarrià - Sant Gervasi;5.0;2.0;150.0;3.0;True;False;False;False;False;False;12.0
163012717;900;Piso;931333829;Barcelona Capital;Carrer de Margarit;Sants - Montjuïc;2.0;3.0;50.0;1.0;False;True;False;False;False;False;18.0
163041716;1550;Piso;932938436;Barcelona Capital;;Eixample;2.0;1.0;66.0;;True;False;False;True;False;False;23.484848484848484
162757818;3300;Apartamento;932825164;Barcelona Capital;;Sarrià - Sant Gervasi;4.0;3.0;180.0;;True;False;True;False;False;False;18.333333333333332
163030180;1850;Piso;931335749;Barcelona Capital;;Sarrià - Sant Gervasi;3.0;2.0;98.0;;False;False;False;False;True;False;18.877551020408163
163029447;3445;Piso;932829126;Barcelona Capital;;Sarrià - Sant Gervasi;3.0;2.0;124.0;1.0;True;False;False;False;False;False;27.782258064516128
163029259;1850;Piso;932829126;Barcelona Capital;Llull;Sant Martí;2.0;2.0;105.0;7.0;True;False;False;False;False;False;17.61904761904762
163029105;1793;Piso;932829126;Barcelona Capital;Espronceda;Sant Martí;2.0;2.0;82.0;1.0;True;False;False;False;False;False;21.865853658536587
163028860;1700;Piso;Unknown;Barcelona Capital;;Sarrià - Sant Gervasi;2.0;2.0;75.0;1.0;True;False;False;False;False;False;22.666666666666668
163026545;3100;Piso;930445863;Barcelona Capital;;Gràcia;3.0;3.0;145.0;;False;True;False;False;False;False;21.379310344827587
163022699;1000;Piso;932992519;Barcelona Capital;Avinguda del Parallel;Sants - Montjuïc;2.0;1.0;60.0;4.0;True;False;False;False;False;False;16.666666666666668
163020460;5500;Casa o chalet;931335749;Barcelona Capital;;Les Corts;5.0;4.0;330.0;;False;False;False;False;True;False;16.666666666666668
163018303;2200000;Piso;931335749;Barcelona Capital;;Sant Martí;4.0;4.0;150.0;;False;False;False;False;True;False;14666.666666666666
